ID,Title,StateID,Latitude,Longitude,DeprivationFactor,WeatherFactor,DistanceKm
1,اردبيل,3,38.2497444152832,48.2942848205566,0,0,1514.419
2,اصلاندوز,3,39.4426040649414,47.4100227355957,0,0,1696.987
3,آبي بيگلو,3,38.2848968505859,48.5525054931641,0,0,1534.162
4,بيله سوار,3,39.3760795593262,48.3427085876465,0,0,1686.112
5,پارس آباد,3,39.6457939147949,47.9099502563477,0,0,1715.489
6,تازه كند,3,39.5755882263184,48.0163764953613,0,0,1707.4
7,تازه كندانگوت,3,39.0409660339356,47.74365234375,0,0,1627.242
8,جعفرآباد,3,39.4331779479981,48.0978813171387,0,0,1684.164
9,خلخال,3,37.6207504272461,48.5273666381836,0,0,1389.484
10,رضي,3,38.629020690918,48.0945091247559,0,0,1562.632
11,سرعين,3,38.1376686096191,48.0762329101563,0,0,1540.541
12,عنبران,3,38.4876899719238,48.4351425170898,0,0,1484.902
13,فخرآباد,3,38.5229873657227,47.8616714477539,0,0,1582.306
14,كلور,3,37.3894538879395,48.7229042053223,0,0,1404.096
15,كوراييم,3,37.950569152832,48.2355155944824,0,0,1543.131
16,گرمي,3,39.0121879577637,48.0836029052734,0,0,1638.324
17,گيوي,3,37.6841621398926,48.3396682739258,0,0,1421.744
18,لاهرود,3,38.5073356628418,47.8304786682129,0,0,1587.292
19,مرادلو,3,38.7467613220215,47.7462844848633,0,0,1611.122
20,مشگين شهر,3,38.3971862792969,47.6725807189941,0,0,1608.258
21,نمين,3,38.4236488342285,48.4808197021484,0,0,1474.791
22,نير,3,38.0352172851563,48.0073928833008,0,0,1548.759
23,هشتجين,3,37.363826751709,48.3245849609375,0,0,1420.044
24,هير,3,38.0753555297852,48.497974395752,0,0,1491.457
25,ابريشم,4,32.5561141967773,51.5736312866211,0,0,1260.652
26,ابوزيدآباد,4,33.9041328430176,51.7680015563965,0,0,1083.755
27,اردستان,4,33.3565788269043,52.3781852722168,0,0,1167.963
28,اژيه,4,32.4401702880859,52.3795166015625,0,0,1127.934
29,اصفهان,4,32.57763671875,51.6590538024902,0,0,1252.18
30,افوس,4,33.0241394042969,50.0929794311523,0,0,1264.097
31,انارك,4,33.3068008422852,53.6970291137695,0,0,917.845
32,ايمانشهر,4,32.4703483581543,51.4613838195801,0,0,1278.667
33,آران وبيدگل,4,34.0581970214844,51.4824867248535,0,0,1057.761
34,بادرود,4,33.6897506713867,52.0112648010254,0,0,1118.51
35,باغ بهادران,4,32.3758201599121,51.1912422180176,0,0,1314.608
36,بافران,4,32.8366813659668,53.1421432495117,0,0,1026.649
37,برزك,4,33.7783164978027,51.230152130127,0,0,1077.926
38,برف انبار,4,32.9958724975586,50.1938819885254,0,0,1251.875
39,بوئين ومياندشت,4,33.0804443359375,50.1587333679199,0,0,1219.097
40,بهاران شهر,4,32.5156440734863,51.5414428710938,0,0,1268.656
41,بهارستان,4,32.4865112304688,51.7789115905762,0,0,1191.378
42,پيربكران,4,32.465576171875,51.5559616088867,0,0,1201.829
43,تودشك,4,32.7282676696777,52.6791152954102,0,0,1077.591
44,تيران,4,32.704402923584,51.1531791687012,0,0,1274.247
45,جندق,4,34.0413131713867,54.4144668579102,0,0,817.081
46,جوزدان,4,32.5548973083496,51.3718605041504,0,0,1280.073
47,جوشقان وكامو,4,33.5994682312012,51.2282638549805,0,0,1116.323
48,چادگان,4,32.7715568542481,50.6268577575684,0,0,1338.297
49,چرمهين,4,32.3383598327637,51.1954879760742,0,0,1316.899
50,چمگردان,4,32.3935050964356,51.3353500366211,0,0,1299.627
51,حبيب آباد,4,32.8218879699707,51.7758712768555,0,0,1217.357
52,حسن آباد,4,32.1366348266602,52.6235427856445,0,0,1139.139
53,حنا,4,31.1975841522217,51.7256813049316,0,0,1242.756
54,خالدآباد,4,33.7018356323242,51.9816436767578,0,0,1118.317
55,خميني شهر,4,32.6833305358887,51.5335960388184,0,0,1248.1
56,خوانسار,4,33.2142295837402,50.3188705444336,0,0,1189.553
57,خور,4,33.7718162536621,55.0838432312012,0,0,745.537
58,خوراسگان,4,32.6551017761231,51.7595481872559,0,0,1164.883
59,خورزوق,4,32.7767219543457,51.6498374938965,0,0,1242.087
60,داران,4,32.9862174987793,50.4091377258301,0,0,1228.07
61,دامنه,4,33.0157928466797,50.4877700805664,0,0,1220.18
62,درچه پياز,4,32.6044807434082,51.5477066040039,0,0,1258.483
63,دستگرد,4,32.8020477294922,51.665714263916,0,0,1227.148
64,دولت آباد,4,32.8047294616699,51.6935615539551,0,0,1224.147
65,دهاقان,4,31.9331302642822,51.6541786193848,0,0,1267.857
66,دهق,4,33.103385925293,50.9591751098633,0,0,1185.365
67,ديزيچه,4,32.3779296875,51.5041618347168,0,0,1303.915
68,رزوه,4,32.8351287841797,50.5693435668945,0,0,1250.785
69,رضوانشهر,4,32.6997413635254,51.1038818359375,0,0,1282.535
70,زاينده رود,4,32.3782157897949,51.2732620239258,0,0,1306.99
71,زرين شهر,4,32.3941307067871,51.3858947753906,0,0,1295.355
72,زواره,4,33.4478607177734,52.4866638183594,0,0,1177.582
73,زيباشهر,4,32.3794174194336,51.5648231506348,0,0,1217.152
74,سده لنجان,4,32.3773918151856,51.318904876709,0,0,1302.594
75,سفيدشهر,4,34.1230621337891,51.3515014648438,0,0,1028.615
76,سگزي,4,32.6685638427734,52.1304664611816,0,0,1134.7
77,سميرم,4,31.4145526885986,51.5718688964844,0,0,1327.12
78,شاپورآباد,4,32.8454208374023,51.7433204650879,0,0,1219.587
79,شاهين شهر,4,32.8643188476563,51.5546760559082,0,0,1227.597
80,شهرضا,4,31.9766597747803,51.8494262695313,0,0,1255.284
81,طالخونچه,4,32.2620849609375,51.5642776489258,0,0,1232.071
82,عسگران,4,32.863525390625,50.8521995544434,0,0,1311.891
83,علويچه,4,33.054801940918,51.0814590454102,0,0,1250.29
84,فرخي,4,33.8445816040039,54.9468803405762,0,0,763.391
85,فريدونشهر,4,32.9399871826172,50.1393852233887,0,0,1264.416
86,فلاورجان,4,32.556266784668,51.506290435791,0,0,1264.68
87,فولادشهر,4,32.4895324707031,51.4073677062988,0,0,1287.107
88,قمصر,4,33.752010345459,51.4306488037109,0,0,1076.323
89,قهجاورستان,4,32.7031364440918,51.8350067138672,0,0,1233.027
90,قهدريجان,4,32.5738372802734,51.4558486938477,0,0,1271.112
91,كاشان,4,33.9833946228027,51.4320831298828,0,0,1052.253
92,كركوند,4,32.3462944030762,51.4372367858887,0,0,1301.896
93,كليشادوسودرجان,4,32.5415382385254,51.5358963012695,0,0,1265.425
94,كمشچه,4,32.9057693481445,51.8090400695801,0,0,1207.003
95,كمه,4,31.061466217041,51.5935821533203,0,0,1275.698
96,كوشك,4,32.640079498291,51.5001068115234,0,0,1256.343
97,كوهپايه,4,32.7151107788086,52.4325180053711,0,0,1101.255
98,كهريزسنگ,4,32.6262474060059,51.4771156311035,0,0,1261.524
99,گرگاب,4,32.8657684326172,51.5976524353027,0,0,1230.181
100,گزبرخوار,4,32.8046073913574,51.6188278198242,0,0,1236.455
101,گلپايگان,4,33.4509506225586,50.2833633422852,0,0,1163.083
102,گلدشت,4,32.6299057006836,51.4427185058594,0,0,1261.893
103,گلشن,4,31.929220199585,51.7525062561035,0,0,1259.311
104,گلشهر,4,33.5058822631836,50.4656143188477,0,0,1143.596
105,گوگد,4,33.473445892334,50.3453140258789,0,0,1155.315
106,لاي بيد,4,33.4586524963379,50.694149017334,0,0,1141.447
107,مباركه,4,32.3417739868164,51.5006828308106,0,0,1307.601
108,محمدآباد,4,32.3194541931152,52.1039123535156,0,0,1164.11
109,مشكات,4,34.1753463745117,51.2682571411133,0,0,1017.542
110,منظريه,4,31.9432907104492,51.872127532959,0,0,1257.69
111,مهاباد,4,33.5276565551758,52.2173271179199,0,0,1141.643
